Equipo,Componente,Id,Resultado,Horas Funcionamiento,Horas del Aceite,Fecha de Análisis,B,Nit,Oxi,Sul,St,V,Al,Cr,Cu,Fe,Pb,Mo,Ni,Sn,Si,K,Na,W,F,A,ISO,PQI,Ba,Ca,Mg,Mn,P,Zn,Ag,Ti,V40,V100,TBN,TAN,ISO14,ISO4,ISO6
1355,Mando Final TD,273615,1,21950,409,2019-02-20 00:00:00.000,96,4,8,12,0,0,0,0,16,15,2,0,1,1,7,0,8,N,NULL,NULL,22/19/13,11,0,337,2,0,305,31,0,0,NULL,24.5,NULL,NULL,13,22,19
1355,Mando Final TI,294763,3,23153,424,2019-05-12 00:00:00.000,84,3,7,11,0,0,0,0,103,55,36,0,1,2,9,0,9,N,NULL,NULL,S-M,24,0,372,2,1,320,40,0,0,NULL,24.2,NULL,NULL,NULL,NULL,NULL
1355,Masa Derecha,278700,3,22349,399,2019-03-14 00:00:00.000,114,NULL,NULL,NULL,NULL,0,28,2,1,117,0,1,10,0,109,7,16,N,NULL,NULL,S-M,49,0,283,5,1,323,0,0,1,NULL,25,NULL,NULL,NULL,NULL,NULL
1355,Motor,273586,3,21950,409,2019-02-20 00:00:00.000,51,9,22,25,57,1,3,1,10,74,4,40,0,2,6,2,15,N,N,N,NULL,4,0,1663,463,2,880,1089,0,0,NULL,13.7,9.1,NULL,NULL,NULL,NULL
1355,Sist de Dirección,278549,1,22349,808,2019-03-14 00:00:00.000,2,NULL,NULL,NULL,NULL,0,2,0,1,3,0,0,0,0,6,2,4,N,NULL,N,201814,11,0,3294,13,0,964,1199,0,0,NULL,10.8,NULL,NULL,14,20,18
1355,Sist. Hidráulico,273622,1,21950,409,2019-02-20 00:00:00.000,2,NULL,NULL,NULL,NULL,0,1,0,1,8,0,0,1,0,22,1,4,N,NULL,N,21/19/15,8,24,2880,10,0,952,1202,0,0,NULL,6.2,NULL,NULL,15,21,19
1355,Sist. Hidráulico,295663,3,28295,NULL,2019-05-17 00:00:00.000,2,NULL,NULL,NULL,NULL,0,1,0,6,164,0,0,1,0,18,1,3,N,NULL,N,S-M/N,70,0,2732,11,1,944,1143,0,0,NULL,6.1,NULL,NULL,NULL,NULL,NULL
1356,Mando Final TI,295737,1,28295,NULL,2019-05-17 00:00:00.000,100,3,5,10,0,0,0,0,13,11,1,0,0,1,8,1,5,N,NULL,NULL,22/18/12,2,0,388,3,0,324,39,0,0,NULL,25.4,NULL,NULL,12,22,18
1356,Masa Izquierda,155977,1,27624,663,2017-10-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,0,0,1,0,9,0,0,1,0,15,0,0,N,NULL,NULL,211914,36,0,78,0,0,411,31,0,0,337.2,38.4,NULL,NULL,14,21,19
1356,Sist de Dirección,155974,1,27624,258,2017-10-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,0,1,1,1,2,0,0,0,0,4,1,4,N,NULL,NULL,191613,15,0,2349,8,0,827,1030,0,0,NULL,10.5,NULL,NULL,13,19,16
1356,Sist. Hidráulico,155972,3,27624,187,2017-10-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,0,1,1,16,407,1,0,1,0,13,2,19,N,NULL,NULL,S-M,270,0,1904,5,3,742,999,0,0,NULL,7,NULL,NULL,NULL,NULL,NULL
1356,Sist. Hidráulico,297233,3,28377,82,2019-05-22 00:00:00.000,2,NULL,NULL,NULL,NULL,0,1,0,2,58,0,1,0,0,11,1,0,N,NULL,N,S-M,37,0,3073,15,1,864,1062,0,0,NULL,6.6,NULL,NULL,NULL,NULL,NULL
1357,Motor,156982,1,27876,263,2017-11-05 00:00:00.000,NULL,6,9,17,24,0,1,1,1,12,1,1,0,0,2,7,8,N,N,N,NULL,4,0,4000,23,0,1048,1246,0,0,NULL,14,NULL,NULL,NULL,NULL,NULL
1359,Convertidor,207526,1,43742,448,2018-04-04 00:00:00.000,2.1,NULL,NULL,NULL,NULL,0.7,1,0.1,3.6,6.8,0.1,2.8,0.1,0.1,9.1,0.7,3.6,NULL,NULL,NULL,18/16/10,0,0.1,1936,12.2,0.2,709,1088,0.1,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1359,Convertidor,253179,1,47386,512,2018-11-24 00:00:00.000,1.3,NULL,NULL,NULL,NULL,0.1,2.7,0.1,0.9,7.2,0.1,3.6,0.2,0.1,7.1,0.7,2.6,NULL,NULL,NULL,20/18/13,0,0.1,1962,16.2,0.1,751,1112,0.1,0.4,10.76,NULL,NULL,NULL,NULL,NULL,NULL
1359,Convertidor,266613,1,48300,914,2019-01-23 00:00:00.000,2.9,NULL,NULL,NULL,NULL,0.1,0.1,0.1,0.7,5.6,0.1,0.8,1.5,0.1,8.3,0.5,3.7,NULL,NULL,NULL,19/17/<1,0,0.1,1856,11.6,0.1,748,1186,0.1,0.1,10.8,NULL,NULL,NULL,NULL,NULL,NULL
1359,Diferencial Trasero,205030,1,44460,NULL,2018-05-19 00:00:00.000,102,NULL,NULL,NULL,NULL,0,0,0,17,20,3,0,0,1,5,0,7,N,NULL,NULL,201615,16,0,433,2,0,343,64,0,0,NULL,23.9,NULL,NULL,15,20,16
1359,Diferencial Trasero,207555,1,43505,2618,2018-03-21 00:00:00.000,80.9,NULL,18.92,NULL,NULL,0.1,0.1,0.4,26.8,43,0.1,1.2,0.1,1.9,4.3,0.1,6.7,NULL,NULL,NULL,17/16/11,4,0.1,222,1.9,0.1,242,33.2,0.1,0.1,NULL,NULL,NULL,1.2,NULL,NULL,NULL
1359,Diferencial Trasero,271503,3,48626,326,2019-02-12 00:00:00.000,70.5,NULL,12.8,NULL,NULL,0.1,0.1,0.2,27.4,15.1,2,0.1,1.2,0.5,3.3,0.1,5.8,NULL,NULL,NULL,18/16/9,0,0.1,471,3.4,0.1,311,172,0.1,0.1,20.96,NULL,NULL,1,NULL,NULL,NULL
1359,Mando Final TD,207570,1,44006,3119,2018-04-19 00:00:00.000,70.2,NULL,NULL,NULL,NULL,0.1,0.1,0.3,24,39.9,1.7,0.2,0.8,0.1,0.8,0.1,8.1,NULL,NULL,NULL,17/15/12,7,0.1,275,2.2,0.1,252,94.9,0.1,0.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1359,Mando Final TD,254276,3,46670,2374,2018-10-06 00:00:00.000,81.7,NULL,NULL,NULL,NULL,0.1,0.1,0.3,63.7,39.1,7.3,0.8,0.8,3.9,5.3,0.6,8.2,NULL,NULL,NULL,NULL,8,0.1,274,4.1,0.3,174,52.9,0.1,0.4,23.96,NULL,NULL,NULL,NULL,NULL,NULL
1359,Mando Final TD,271505,3,48626,326,2019-02-12 00:00:00.000,73.6,NULL,NULL,NULL,NULL,0.1,0.1,0.2,27.7,16.1,1.8,0.1,0.2,0.1,3,0.1,5.6,NULL,NULL,NULL,18/15/12,0,0.1,468,3.4,0.1,330,177,0.1,0.1,20.97,NULL,NULL,NULL,NULL,NULL,NULL
1359,Mando Final TD,275598,3,48940,640,2019-03-03 00:00:00.000,73,NULL,NULL,NULL,NULL,0.1,0.1,0.3,39.5,22.7,3.4,0.6,0.5,0.1,1.4,0.2,5.5,NULL,NULL,NULL,19/17/13,0,0.1,460,3.4,0.1,293,192,0.1,0.1,20.99,NULL,NULL,NULL,NULL,NULL,NULL
1355,Diferencial Trasero,273576,1,21950,409,2019-02-20 00:00:00.000,97,4,8,12,0,0,0,0,16,16,2,0,1,0,7,0,9,N,NULL,NULL,22/19/13,14,0,343,2,0,310,31,0,0,NULL,24.4,NULL,NULL,13,22,19
1355,Diferencial Trasero,283969,2,22729,1188,2019-04-03 00:00:00.000,87,4,9,12,0,0,0,0,45,35,4,0,1,1,10,0,8,N,NULL,NULL,23/21/14,6,0,350,2,1,303,34,0,0,NULL,23.8,NULL,NULL,14,23,21
1355,Masa Derecha,273548,2,21950,409,2019-02-20 00:00:00.000,103,NULL,NULL,NULL,NULL,0,11,1,1,42,0,0,4,0,55,3,11,N,NULL,NULL,G-NM1,21,0,295,3,0,294,10,0,1,NULL,24.9,NULL,NULL,NULL,NULL,NULL
